Date,Order,Slug,Origin,Producer,Guest number,Guest info

141109,0,RIVERSIDE VETERANS DAY,S,"W,M",4,"['B,M', 'B,F', 'W,F', 'L,M']"
141109,1,BOOK WHY WE LOST,S,"W,F",1,"['W,M']"
141109,2,BERLIN WALL ANNIVERSARY,S,"W,F",1,"['M,F']"
141109,3,CONSUMERS LOVE CHEAP GAS,D,"W,F",4,"['W,M', 'W,M', 'W,M', 'W,M']"
141109,4,HOLIDAY AIR TRAVEL,D,"W,M",2,"['L,F', 'W,M']"
141109,5,NORMANDY GRAVE PROVIDES CLOSURE,D,"W,M",2,"['W,F', 'W,M']"
141109,6,HEDY LAMARR'S 100TH,S,"W,M",1,"['W,M']"
141109,7,BERLIN TECHNO,D,"W,F",4,"['W,M', 'W,M', 'W,M', 'W,M']"
141109,8,MUSIC BOOK BLACK HORN,S,"W,M",1,"['B,M']"
141109,9,MBB JAMES EARL JONES,S,"W,M",1,"['B,M']"
141108,0,NORTH KOREA RELEASE,S,"W,M",1,"['W,F']"
141108,1,MIDTERM WOMEN,S,"W,F",1,"['W,F']"
141108,2,BLACK REPUBLICANS,D,"A,M",5,"['B,M', 'B,M', 'B,M', 'B,F', 'B,F']"
141108,3,DEPUTIES IMMIGRATION,D,"L,M",4,"['W,M', 'W,M', 'W,M', 'W,F']"
141108,4,OVERWEIGHT WOMEN IN WORKPLACE,S,"W,F",1,"['W,F']"
141108,5,DOC LIFE AND CRIMES,S,"B,F",2,"['W,M', 'B,F']"
141108,6,ROBOT BABY PENGUIN,S,"B,F",2,"['W,M', 'W,M']"
141108,7,MUSIC BETTE MIDLER,S,"W,M",1,"['W,F']"
141108,8,BLACK HOLES,D,"W,M",0,['']
141108,9,NASA SPACE SOUNDS,S,"W,F",1,"['W,M']"
141102,0,PAKISTAN BOMBING,S,"W,F",1,"['W,M']"
141102,1,NEBRASKA EBOLA DOC,S,"W,M",1,"['W,M']"
141102,2,ELECTION LOOKAHEAD,S,"W,F",1,"['W,F']"
141102,3,WOMEN VOTERS,S,"W,F",1,"['W,F']"
141102,4,MUST READ QUANTITATIVE EASING,D,"W,F",1,"['W,M']"
141102,5,IMMIGRANT MAGAZINE,S,"B,F",1,"['B,F']"
141102,6,MUSIC MIGUEL ZENON,S,"W,M",1,"['L,M']"
141102,7,CLIPPERS TECH,S,"W,M",1,"['A,M']"
141102,8,MUSIC BOOK LENINGRAD,S,"W,F",1,"['W,M']"
141102,9,MBB BETTY WHITE,S,"W,M",1,"['W,F']"
141101,0,LAVA FLOW DIVERSION,S,"W,M",2,"['W,M', 'O,F']"
141101,1,EBOLA BURIALS,S,"W,F",1,"['W,M']"
141101,2,AMELIA EARHART FRAGMENT,S,"W,F",1,"['W,M']"
141101,3,STREET HARASSMENT VIDEO,S,"W,M",1,"['W,F']"
141101,4,ELECTRIC TRUCKS,D,"W,M",4,"['W,M', 'W,M', 'W,M', 'W,M']"
141101,5,MUSIC BETTO ARCOS,S,"W,M",1,"['L,M']"
141101,6,NEW BOOM COHABITATION,D,"W,M",3,"['W,F', 'W,M', 'W,F']"
141101,7,BOOK A MAP OF BETRAYAL,S,"W,F",1,"['A,M']"
141101,8,ADAM DRIVER,S,"B,F",1,"['W,M']"
141026,0,SKID ROW COVER STORY,S,"W,M",10,"['B,F', 'B,F', 'W,F', 'B,M', 'L,M', 'W,M', 'W,M', 'W,M', 'W,M', 'W,M']"
141026,1,GOVERNORS ON EBOLA,D,"W,M",3,"['W,M', 'W,F', 'W,M']"
141026,2,WOMEN ON MARS,S,"W,F",1,"['W,F']"
141026,3,GOTHAM STUNTWOMAN CONTOVERSY,S,"W,F",3,"['W,M', 'B,F', 'B,M']"
141026,4,LED ZEPPELIN PLAGIARISM,S,"W,M",1,"['O,M']"
141026,5,MUST READ BLACKWATER,D,"W,F",1,"['W,M']"
141026,6,MAC SALES SOARING,S,"A,F",1,"['L,M']"
141026,7,BRAIN PATIENT INTERFACE,S,"B,F",1,"['W,M']"
141026,8,MUSIC MAYA BEISER,S,"W,M",1,"['W,F']"
141025,0,EBOLA SUITS,D,"W,M",2,"['A,M', 'W,M']"
141025,1,BECKY ON EBOLA,S,"W,M",1,"['W,F']"
141025,2,CANADA REAX,D,"W,F",3,"['W,M', 'W,M', 'W,M']"
141025,3,UKRAINE ELECTIONS,S,"W,M",1,"['W,M']"
141025,4,LATINO POLITICS IN NEVADA,D,"W,M",3,"['L,F', 'W,M', 'W,M']"
141025,5,WORLD SERIES SOUND DESIGN,S,"W,F",1,"['W,M']"
141025,6,OLE MISS,D,"W,F",6,"['W,M', 'B,F', 'W,M', 'W,M', 'W,F', 'W,M']"
141025,7,BOOK JIM,S,"W,F",1,"['W,M']"
141025,8,MBB MUGGSY BOGUES,S,"W,M",1,"['B,M']"
141025,9,MUSIC FLAMING LIPS,S,"W,M",1,"['W,M']"
141019,0,IMMIGRATION UPDATE,S,"B,F",1,"['W,M']"
141019,1,SUBURBAN IMMIGRANTS,D,"B,F",5,"['L,F', 'W,M', 'W,F', 'W,M', 'O,F']"
141019,2,MUST READ LIT AWARDS,D,"W,F",1,"['W,M']"
141019,3,TENNESSEE OPIATES LAW,S,"A,F",1,"['W,F']"
141019,4,CONVERSE LAWSUIT,S,"W,F",1,"['W,M']"
141019,5,TEXAS CATTLE RUSTLING,S,"W,M",2,"['W,M', 'W,M']"
141019,6,DROUGHTS AND DYSTOPIAS,D,"W,F",4,"['W,M', 'W,F', 'W,F', 'W,F']"
141019,7,BOOK LIVES OF MUHAMMAD,S,"W,F",1,"['O,F']"
141019,8,COUGARS,S,"A,F",2,"['W,M', 'L,F']"
141019,9,MBB GEENA DAVIS,S,"W,M",1,"['W,F']"
141018,0,EBOLA RESPONSE LOGISTICS,S,"W,F",2,"['B,M', 'W,M']"
141018,1,SKYPE A DOCTOR,S,"W,F",1,"['A,M']"
141018,2,SAUDI CLERIC SENTENCED TO DEATH,D,"M,F",2,"['M,M', 'W,M']"
141018,3,PROSECUTORS AGAINST GUN VIOLENCE,S,"W,M",2,"['W,M', 'W,M']"
141018,4,GAMING DEATH THREATS,S,"W,M",2,"['W,F', 'W,M']"
141018,5,BOOK DOES SANTA EXIST,S,"W,F",1,"['W,M']"
141018,6,DEAR WHITE PEOPLE,D,"L,F",1,"['B,M']"
141018,7,DOC WATCHERS OF THE SKY,S,"B,F",1,"['W,F']"
141018,8,MUSIC PRIMUS,S,"W,M",1,"['W,M']"
141012,0,EBOLA US SECOND CASE,D,"W,M",4,"['W,M', 'W,M', 'W,M', 'O,F']"
141012,1,EBOLA FOLO,S,"W,M",1,"['W,F']"
141012,2,DEATH OF WOLVERINE,S,"W,F",1,"['W,M']"
